,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
886,0,0,New,8172,Edupugallu,108.0,North,Residential Plot
887,0,0,New,12240,Edupugallu,163.0,West,Residential Plot
888,0,0,New,4077,Edupugallu,54.36,East,Residential Plot
889,0,0,New,3996,Edupugallu,53.28,None,Residential Plot
890,0,0,New,3366,Edupugallu,44.88,NorthEast,Residential Plot
891,0,0,New,2439,Edupugallu,32.52,NorthEast,Residential Plot
892,0,0,New,3150,Edupugallu,42.0,NorthWest,Residential Plot
893,0,0,New,3024,Edupugallu,40.32,NorthWest,Residential Plot
894,0,0,New,2475,Edupugallu,33.0,NorthWest,Residential Plot
895,0,0,New,2304,Edupugallu,30.72,NorthWest,Residential Plot
896,0,0,New,4455,Edupugallu,59.4,NorthEast,Residential Plot
897,0,0,New,3942,Edupugallu,50.37,NorthEast,Residential Plot
898,0,0,New,3942,Edupugallu,50.37,NorthEast,Residential Plot
899,0,0,New,3483,Edupugallu,463.99999999999994,NorthEast,Residential Plot
900,0,0,New,3942,Edupugallu,50.37,NorthEast,Residential Plot
901,0,0,New,3483,Edupugallu,463.99999999999994,NorthEast,Residential Plot
902,0,0,New,1701,Edupugallu,22.68,SouthWest,Residential Plot
903,0,0,New,2745,Edupugallu,36.6,SouthEast,Residential Plot
904,0,0,New,2655,Edupugallu,35.4,SouthEast,Residential Plot
905,0,0,New,2340,Edupugallu,31.2,SouthEast,Residential Plot
906,0,0,New,1899,Edupugallu,25.32,SouthEast,Residential Plot
907,0,0,New,1800,Edupugallu,24.0,SouthEast,Residential Plot
908,0,0,New,491,Edupugallu,58.92,None,Residential Plot
909,0,0,New,3339,Edupugallu,44.52,NorthWest,Residential Plot
910,0,0,New,3213,Edupugallu,42.84,NorthWest,Residential Plot
911,0,0,New,3168,Edupugallu,42.24,NorthWest,Residential Plot
912,0,0,New,1458,Edupugallu,29.16,West,Residential Plot
913,0,0,New,1440,Edupugallu,28.8,West,Residential Plot
914,0,0,New,1395,Edupugallu,18.6,West,Residential Plot
915,0,0,New,2637,Edupugallu,35.16,SouthWest,Residential Plot
916,0,0,New,2502,Edupugallu,33.36,SouthWest,Residential Plot
917,0,0,New,1872,Edupugallu,24.96,SouthWest,Residential Plot
918,0,0,New,1719,Edupugallu,34.38,West,Residential Plot
919,0,0,New,1710,Edupugallu,34.2,West,Residential Plot
920,0,0,New,1206,Gosala,16.08,East,Residential Plot
921,0,0,New,1269,Gosala,16.21,None,Residential Plot
922,0,0,New,1206,Gosala,16.08,East,Residential Plot
923,0,0,New,1350,Gosala,18.0,None,Residential Plot
924,0,0,New,1350,Ramavarapadu Ring,20.25,North,Residential Plot
925,0,0,New,1503,Kankipadu,19.2,East,Residential Plot
926,0,0,New,1647,Edupugallu,32.94,North,Residential Plot
927,0,0,New,1620,Gudavalli,28.62,None,Residential Plot
928,0,0,New,1359,Penamaluru,17.5,None,Residential Plot
929,0,0,New,900,MylavaramKuntamukkalaVellaturuVijayawada Road,4.99,None,Residential Plot
930,0,0,New,1350,Gosala,18.75,None,Residential Plot
931,0,0,New,1450,Gosala,19.98,None,Residential Plot
932,0,0,Resale,2400,Kandrika,40.2,None,Residential Plot
933,0,0,Resale,20000,Nuzvid Road,26.0,East,Residential Plot
934,0,0,New,1215,Punadipadu,18.22,None,Residential Plot
935,0,0,New,900,G Konduru,4.5,None,Residential Plot
936,0,0,New,187,Kanigiri Gurunadham Street,2.5,East,Residential Plot
937,0,0,Resale,1728,Edupugallu,30.72,East,Residential Plot
938,0,0,New,2700,Kanuru,340.0,None,Residential Plot
939,0,0,New,7092,Kanuru,300.0,None,Residential Plot
940,0,0,New,1800,Ajit Singh Nagar,65.0,None,Residential Plot
941,0,0,New,2394,Gannavaram,33.0,None,Residential Plot
942,0,0,New,837,Bhavanipuram,60.0,None,Residential Plot
943,0,0,New,9117,MylavaramKuntamukkalaVellaturuVijayawada Road,170.0,None,Residential Plot
944,0,0,New,4320,Mangalagiri,140.0,None,Residential Plot
945,0,0,New,3267,Mangalagiri,76.0,None,Residential Plot
946,0,0,New,11394,kunchanapalli,505.99999999999994,None,Residential Plot
947,0,0,New,909,krishnalanka,35.0,None,Residential Plot
948,0,0,New,2601,LIC Colony,250.0,None,Residential Plot
949,0,0,New,1620,Gollapudi,72.0,None,Residential Plot
950,0,0,New,2700,Gollapudi,100.0,None,Residential Plot
951,0,0,Resale,1728,Edupugallu,30.72,East,Residential Plot
952,0,0,New,3366,chinnakakani,82.3,None,Residential Plot
953,0,0,New,1881,Kankipadu,45.0,None,Residential Plot
954,0,0,New,1098,Kankipadu,34.0,None,Residential Plot
955,0,0,New,2430,Kankipadu,15.0,None,Residential Plot
956,0,0,New,999,Patamata,84.0,None,Residential Plot
957,0,0,New,9585,Poranki,270.0,None,Residential Plot
958,0,0,New,1611,Patamata,173.0,None,Residential Plot
959,0,0,New,2376,Patamata,257.0,None,Residential Plot
960,0,0,Resale,1314,Andhra Prabha Colony Road,45.26,West,Residential Plot
961,0,0,Resale,3996,Devi Nagar,165.0,East,Residential Plot
962,4,4,Ready to move,2200,Gannavaram,90.0,None,Residential Plot
963,2,1,Ready to move,1500,Machilipatnam,40.0,None,Residential Plot
964,3,3,Ready to move,2280,Gollapudi,60.0,None,Residential Plot
965,2,2,Ready to move,1010,Ibrahimpatnam,35.0,None,Residential Plot
966,2,1,Ready to move,410,Ibrahimpatnam,15.0,None,Residential Plot
967,2,2,Ready to move,1266,Kesarapalli,43.67,None,Apartment
968,2,2,Ready to move,800,Currency Nagar,27.0,None,Apartment
969,2,2,Ready to move,800,Poranki,32.0,East,Apartment
970,2,2,Ready to move,900,Gandhi Nagar,47.0,None,Apartment
971,2,2,Ready to move,950,Gannavaram,26.5,None,Independent House
972,3,20223,Under Construction,3433,Ramavarapadu,210.0,None,Apartment
973,2,2,Ready to move,1000,Gannavaram,30.0,None,Apartment
974,2,2,Ready to move,1289,Telaprolu,38.5,None,Apartment
975,3,3,Ready to move,1500,Kankipadu,52.0,None,Independent House
976,2,2,Ready to move,1250,Ibrahimpatnam,29.0,None,Villa
977,2,2,Under Construction,1200,PNT Colony,45.0,None,Villa
978,2,2,Under Construction,1200,PNT Colony,45.0,None,Apartment
979,2,2,Under Construction,1200,PNT Colony,45.0,None,Apartment
980,3,3,Under Construction,1250,Nunna,60.5,None,Apartment
981,1,2,Ready to move,400,Ramalingeswara Nagar,37.0,None,Apartment
982,3,3,Ready to move,1500,Sri Ramachandra Nagar,75.0,None,Apartment
983,3,3,Ready to move,2120,Currency Nagar,85.0,None,Apartment
984,3,3,Ready to move,1852,Gunadala,69.5,None,Apartment
985,3,3,Ready to move,1402,Tadepalligudem,66.0,None,Independent Floor
986,2,2,Ready to move,1150,Vijayawada Guntur Highway,32.99,None,Independent House
987,2,2,Ready to move,800,Poranki,55.0,None,Apartment
988,3,20233,Under Construction,1780,Guru Nanak Colony,124.0,None,Independent Floor
