,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
615,Residential Plot,Edupugallu,31.32,0,West,"2,000 / sq ft",New,0
616,Residential Plot,Edupugallu,56.79,0,East,"2,055 / sq ft",New,0
617,Residential Plot,Edupugallu,30.96,0,West,"2,000 / sq ft",New,0
618,Residential Plot,Edupugallu,51.8,0,East,"2,055 / sq ft",New,0
619,Residential Plot,Edupugallu,29.34,0,Unknown,"2,000 / sq ft",New,0
620,Residential Plot,Edupugallu,27.84,0,Unknown,"1,333 / sq ft",New,0
621,Residential Plot,Edupugallu,26.04,0,Unknown,"1,333 / sq ft",New,0
622,Residential Plot,Edupugallu,24.12,0,Unknown,"1,333 / sq ft",New,0
623,Residential Plot,Edupugallu,23.64,0,Unknown,"1,333 / sq ft",New,0
624,Residential Plot,Edupugallu,56.79,0,East,"2,055 / sq ft",New,0
625,Residential Plot,Edupugallu,51.2,0,NorthEast,"2,222 / sq ft",New,0
626,Residential Plot,Edupugallu,56.2,0,Unknown,"2,222 / sq ft",New,0
627,Residential Plot,Edupugallu,36.36,0,West,"2,000 / sq ft",New,0
628,Residential Plot,Edupugallu,36.36,0,Unknown,"2,000 / sq ft",New,0
629,Residential Plot,Edupugallu,37.44,0,Unknown,"2,000 / sq ft",New,0
630,Residential Plot,Edupugallu,37.44,0,Unknown,"2,000 / sq ft",New,0
631,Residential Plot,Edupugallu,44.58,0,Unknown,"2,055 / sq ft",New,0
632,Residential Plot,Gudavalli,35.35,0,East,"1,944 / sq ft",New,0
633,Residential Plot,Edupugallu,35.35,0,East,"1,944 / sq ft",New,0
634,Residential Plot,Gudavalli,31.51,0,Unknown,"1,833 / sq ft",New,0
635,Residential Plot,Edupugallu,38.15,0,East,"1,944 / sq ft",New,0
636,Residential Plot,Edupugallu,31.35,0,West,"1,833 / sq ft",New,0
637,Residential Plot,Gudavalli,30.1,0,East,"1,944 / sq ft",New,0
638,Residential Plot,Gudavalli,32.02,0,East,"1,944 / sq ft",New,0
639,Residential Plot,Edupugallu,37.8,0,Unknown,"2,000 / sq ft",New,0
640,Residential Plot,Edupugallu,29.16,0,West,"1,987 / sq ft",New,0
641,Residential Plot,Edupugallu,29.16,0,West,"2,000 / sq ft",New,0
642,Residential Plot,Edupugallu,28.8,0,West,"2,000 / sq ft",New,0
643,Residential Plot,Gudavalli,35.64,0,East,"1,833 / sq ft",New,0
644,Residential Plot,Gudavalli,28.38,0,East,"1,833 / sq ft",New,0
645,Residential Plot,Gudavalli,35.64,0,East,"1,833 / sq ft",New,0
646,Residential Plot,Gudavalli,32.34,0,East,"1,833 / sq ft",New,0
647,Residential Plot,Gudavalli,28.54,0,East,"1,833 / sq ft",New,0
648,Residential Plot,Gudavalli,32.43,0,West,"1,766 / sq ft",New,0
649,Residential Plot,Gudavalli,30.19,0,East,"1,833 / sq ft",New,0
650,Residential Plot,Gudavalli,33.33,0,East,"1,833 / sq ft",New,0
651,Residential Plot,Gudavalli,22.75,0,East,"1,187 / sq ft",New,0
652,Residential Plot,Gudavalli,33.33,0,East,"1,833 / sq ft",New,0
653,Residential Plot,Gudavalli,28.54,0,East,"1,833 / sq ft",New,0
654,Residential Plot,Gudavalli,20.09,0,West,"1,220 / sq ft",New,0
655,Residential Plot,Gudavalli,40.4,0,NorthEast,"2,222 / sq ft",New,0
656,Residential Plot,Gudavalli,27.55,0,East,"1,833 / sq ft",New,0
657,Residential Plot,Edupugallu,31.14,0,West,"18,000 / sq ft",New,0
658,Residential Plot,Gudavalli,30.19,0,Unknown,"1,803 / sq ft",New,0
659,Residential Plot,Edupugallu,30.96,0,West,"2,047 / sq ft",New,0
660,Residential Plot,Edupugallu,54.36,0,East,"1,333 / sq ft",New,0
661,Residential Plot,Edupugallu,25.08,0,Unknown,"1,333 / sq ft",New,0
662,Residential Plot,Edupugallu,25.2,0,Unknown,"1,333 / sq ft",New,0
663,Residential Plot,Edupugallu,53.28,0,East,"1,333 / sq ft",New,0
664,Residential Plot,Edupugallu,36.84,0,East,"1,333 / sq ft",New,0
665,Residential Plot,Edupugallu,33.85,0,Unknown,"2,055 / sq ft",New,0
666,Residential Plot,Edupugallu,33.6,0,East,"12,000 / sq ft",New,0
667,Residential Plot,Edupugallu,44.03,0,East,"2,055 / sq ft",New,0
668,Residential Plot,Gudavalli,27.55,0,East,"1,833 / sq ft",New,0
669,Residential Plot,Edupugallu,59.4,0,NorthEast,"1,333 / sq ft",New,0
670,Residential Plot,Gudavalli,48.6,0,NorthWest,"2,222 / sq ft",New,0
671,Residential Plot,Edupugallu,50.37,0,NorthEast,"1,277 / sq ft",New,0
672,Residential Plot,Gudavalli,43.4,0,NorthWest,"2,222 / sq ft",New,0
673,Residential Plot,Edupugallu,46.4,0,NorthEast,"1,332 / sq ft",New,0
674,Residential Plot,Gudavalli,26.07,0,East,"1,766 / sq ft",New,0
675,Residential Plot,Gudavalli,47.19,0,East,"1,833 / sq ft",New,0
676,Residential Plot,Edupugallu,44.88,0,NorthEast,"1,333 / sq ft",New,0
677,Residential Plot,Gudavalli,31.16,0,West,"1,766 / sq ft",New,0
678,Residential Plot,Edupugallu,32.52,0,NorthEast,"1,333 / sq ft",New,0
679,Residential Plot,Gudavalli,23.85,0,West,"1,766 / sq ft",New,0
680,Residential Plot,Kankipadu,27.3,0,East,"1,622 / sq ft",New,0
681,Residential Plot,Edupugallu,30.85,0,East,"1,833 / sq ft",New,0
682,Residential Plot,Edupugallu,34.92,0,West,"2,000 / sq ft",New,0
683,Residential Plot,Benz Circle,42.84,0,Unknown,"2,000 / sq ft",New,0
684,Residential Plot,Gosala,16.33,0,West,"1,524 / sq ft",New,0
685,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
686,Residential Plot,Gosala,16.33,0,NorthWest,"1,277 / sq ft",New,0
