,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
0,Apartment,Penamaluru,108.0,0,Unknown,"5,000 / sq ft",Ready to move,3
1,Apartment,Gannavaram,28.0,0,Unknown,"2,500 / sq ft",Ready to move,2
2,Apartment,Penamaluru,90.51,0,Unknown,"4,499 / sq ft",Ready to move,3
3,Apartment,Gannavaram,28.0,0,Unknown,"2,500 / sq ft",Ready to move,2
4,Apartment,Penamaluru,100.0,0,Unknown,"5,000 / sq ft",Ready to move,3
5,Apartment,Gannavaram,53.0,0,Unknown,"2,500 / sq ft",Ready to move,3
6,Independent House,Ramalingeswara Nagar,110.0,5,Unknown,"4,313 / sq ft",Ready to move,5
7,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
8,Apartment,Kanuru,215.0,4,East,"7,918 / sq ft",Ready to move,4
9,Apartment,Gollapudi,43.0,2,Unknown,"4,134 / sq ft",Ready to move,2
10,Residential Plot,Penamaluru,42.0,0,Unknown,"21,000 / sq ft",Resale,0
11,Independent House,Currency Nagar,350.0,7,Unknown,"5,384 / sq ft",Ready to move,8
12,Apartment,Gannavaram,75.0,3,Unknown,"3,475 / sq ft",Under Construction,3
13,Villa,Kankipadu,68.0,2,Unknown,"4,121 / sq ft",Under Construction,3
14,Residential Plot,Ramavarapadu,22.5,0,Unknown,"13,473 / sq ft",Resale,0
15,Villa,Rajiv Bhargav Colony,142.0,0,Unknown,"5,501 / sq ft",Under Construction,3
16,Residential Plot,Ibrahimpatnam,111.0,0,Unknown,"3,555 / sq ft",New,0
17,Residential Plot,Nunna,49.99,0,East,"3,676 / sq ft",New,0
18,Villa,Payakapuram,130.0,4,Unknown,"4,905 / sq ft",Ready to move,3
19,Residential Plot,Nunna,46.0,0,East,"2,555 / sq ft",New,0
20,Independent House,Nunna,58.0,2,East,"4,833 / sq ft",Under Construction,2
21,Apartment,Penamaluru,119.0,0,Unknown,"4,999 / sq ft",Ready to move,3
22,Independent House,Benz Circle,100.0,20252,Unknown,"8,333 / sq ft",Under Construction,2
23,Villa,Rajiv Bhargav Colony,142.0,0,Unknown,"5,501 / sq ft",Under Construction,3
24,Apartment,Kanuru,65.0,3,East,"3,651 / sq ft",Ready to move,3
25,Residential Plot,Kankipadu,33.45,0,NorthEast,"1,778 / sq ft",New,0
26,Residential Plot,Nunna,48.5,0,East,"3,566 / sq ft",New,0
27,Residential Plot,Kankipadu,38.8,0,East,"2,351 / sq ft",New,0
28,Residential Plot,Ramavarapadu,64.0,0,East,"3,555 / sq ft",New,0
29,Residential Plot,Ibrahimpatnam,63.99,0,Unknown,"3,555 / sq ft",New,0
30,Independent House,Labbipet,185.0,4,East,"9,250 / sq ft",Ready to move,4
31,Residential Plot,Poranki,50.0,0,NorthEast,"2,222 / sq ft",New,0
32,Residential Plot,Vuyyuru,21.6,0,East,"1,309 / sq ft",New,0
33,Apartment,Gannavaram,53.0,0,Unknown,"2,500 / sq ft",Ready to move,3
34,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
35,Residential Plot,Payakapuram,31.5,0,West,"2,095 / sq ft",New,0
36,Apartment,Gollapudi,43.0,3,Unknown,"4,134 / sq ft",Ready to move,2
37,Residential Plot,Gannavaram,33.0,0,East,"2,200 / sq ft",New,0
38,Residential Plot,Payakapuram,51.02,0,NorthWest,"3,779 / sq ft",New,0
39,Residential Plot,Ramavarapadu,64.05,0,East,"3,888 / sq ft",New,0
40,Residential Plot,Penamaluru,31.5,0,East,"2,333 / sq ft",New,0
41,Residential Plot,Kankipadu,66.0,0,East,"3,051 / sq ft",New,0
42,Residential Plot,Edupugallu,42.0,0,East,"2,777 / sq ft",New,0
43,Residential Plot,Kesarapalle,42.0,0,Unknown,"2,333 / sq ft",New,0
44,Villa,Rajiv Bhargav Colony,134.0,0,Unknown,"5,500 / sq ft",Under Construction,3
45,Residential Plot,Ibrahimpatnam,53.43,0,Unknown,"3,555 / sq ft",New,0
46,Apartment,Gannavaram,43.0,0,Unknown,"2,500 / sq ft",Ready to move,3
47,Villa,Ramavarapadu,275.0,3,Unknown,"8,333 / sq ft",Ready to move,3
48,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
49,Residential Plot,Edupugallu,30.0,0,West,"1,666 / sq ft",New,0
50,Residential Plot,Nunna,55.0,0,East,"3,666 / sq ft",New,0
51,Residential Plot,Kesarapalle,31.0,0,East,"1,935 / sq ft",New,0
52,Residential Plot,Kanchikacherla,18.01,0,West,"1,334 / sq ft",New,0
53,Residential Plot,Kankipadu,34.0,0,East,"2,222 / sq ft",New,0
54,Residential Plot,Ramavarapadu,77.0,0,East,"3,888 / sq ft",New,0
55,Residential Plot,Vuyyuru,22.0,0,East,"1,358 / sq ft",New,0
56,Villa,Rajiv Bhargav Colony,134.0,0,Unknown,"5,500 / sq ft",Under Construction,3
57,Apartment,Gannavaram,50.64,2,Unknown,"4,000 / sq ft",Ready to move,2
58,Apartment,Currency Nagar,61.98,3,Unknown,"4,275 / sq ft",Ready to move,3
59,Residential Plot,SURAMPALLI,11.99,0,Unknown,888 / sq ft,New,0
60,Residential Plot,SURAMPALLI,11.99,0,Unknown,888 / sq ft,New,0
61,Residential Plot,Vijayawada Road,9.6,0,Unknown,888 / sq ft,New,0
62,Residential Plot,Tadigadapa Main Road,15.99,0,Unknown,"1,777 / sq ft",New,0
63,Residential Plot,Gannavaram,34.88,0,East,"1,828 / sq ft",New,0
64,Apartment,Gannavaram,43.0,0,Unknown,"2,500 / sq ft",Ready to move,3
65,Residential Plot,Kankipadu,24.0,0,East,"1,333 / sq ft",New,0
66,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
67,Residential Plot,Kankipadu,325.0,0,Unknown,"2,242 / sq ft",New,0
68,Residential Plot,Kankipadu,22.5,0,Unknown,"2,000 / sq ft",New,0
69,Residential Plot,Kankipadu,21.96,0,West,"1,330 / sq ft",New,0
70,Residential Plot,Nunna,40.0,0,East,"2,222 / sq ft",New,0
71,Residential Plot,Poranki,61.5,0,East,"3,559 / sq ft",New,0
72,Residential Plot,Kankipadu,33.44,0,East,"1,777 / sq ft",New,0
73,Residential Plot,Gannavaram,40.26,0,East,"2,440 / sq ft",New,0
74,Apartment,Poranki,45.0,2,Unknown,"4,090 / sq ft",Ready to move,2
75,Residential Plot,Mangalagiri,41.5,0,Unknown,"1,882 / sq ft",New,0
76,Residential Plot,Ramavarapadu Ring,16.5,0,Unknown,"1,222 / sq ft",New,0
77,Apartment,Gannavaram,66.52,0,Unknown,"4,000 / sq ft",Ready to move,3
78,Apartment,Currency Nagar,52.0,2,Unknown,"3,851 / sq ft",Ready to move,2
79,Residential Plot,Tadigadapa,19.2,0,Unknown,"1,777 / sq ft",New,0
80,Residential Plot,SURAMPALLI,11.25,0,Unknown,833 / sq ft,New,0
81,Independent House,Vuyyuru,35.0,20212,Unknown,"2,195 / sq ft",Under Construction,2
82,Independent House,Nunna,55.0,2,Unknown,"4,700 / sq ft",Ready to move,2
83,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
84,Villa,Kankipadu,51.67,0,Unknown,"4,672 / sq ft",Under Construction,2
85,Apartment,Auto Nagar,57.0,3,Unknown,"3,562 / sq ft",Ready to move,3
86,Apartment,Gannavaram,66.67,3,Unknown,"3,499 / sq ft",Ready to move,3
87,Apartment,Gannavaram,49.0,3,Unknown,"3,500 / sq ft",Ready to move,3
88,Apartment,Gannavaram,66.67,2,Unknown,"3,500 / sq ft",Ready to move,2
89,Independent Floor,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
90,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
91,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
92,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
93,Apartment,Nidamanuru,63.0,4,Unknown,"4,067 / sq ft",Under Construction,3
94,Apartment,Nidamanuru,37.0,2,Unknown,"3,854 / sq ft",Ready to move,2
95,Apartment,Edupugallu,22.0,2,Unknown,"2,000 / sq ft",Ready to move,2
96,Residential Plot,Ramavarapadu,70.0,0,East,"3,888 / sq ft",New,0
97,Residential Plot,Vuyyuru,23.5,0,East,"1,305 / sq ft",New,0
98,Residential Plot,Gudavalli,1.6,0,North,754 / sq ft,New,0
99,Independent House,Kankipadu,42.0,2,Unknown,"2,916 / sq ft",Ready to move,2
100,Apartment,Gannavaram,38.0,0,Unknown,"2,500 / sq ft",Ready to move,2
101,Apartment,Gannavaram,38.0,0,Unknown,"2,500 / sq ft",Ready to move,2
102,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
103,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
104,Villa,Rajiv Bhargav Colony,125.0,0,Unknown,"5,501 / sq ft",Under Construction,3
105,Villa,Rajiv Bhargav Colony,125.0,0,Unknown,"5,501 / sq ft",Under Construction,3
106,Villa,Rajiv Bhargav Colony,187.0,0,Unknown,"5,500 / sq ft",Under Construction,3
107,Villa,Rajiv Bhargav Colony,187.0,0,Unknown,"5,500 / sq ft",Under Construction,3
108,Villa,Rajiv Bhargav Colony,144.0,0,Unknown,"5,500 / sq ft",Under Construction,3
109,Villa,Rajiv Bhargav Colony,144.0,0,Unknown,"5,500 / sq ft",Under Construction,3
110,Villa,Rajiv Bhargav Colony,116.0,0,Unknown,"5,502 / sq ft",Under Construction,3
111,Villa,Rajiv Bhargav Colony,116.0,0,Unknown,"5,502 / sq ft",Under Construction,3
112,Villa,Rajiv Bhargav Colony,112.0,0,Unknown,"5,501 / sq ft",Under Construction,3
113,Villa,Rajiv Bhargav Colony,112.0,0,Unknown,"5,501 / sq ft",Under Construction,3
114,Villa,Rajiv Bhargav Colony,184.0,0,Unknown,"5,501 / sq ft",Under Construction,3
115,Villa,Rajiv Bhargav Colony,184.0,0,Unknown,"5,501 / sq ft",Under Construction,3
116,Villa,Rajiv Bhargav Colony,152.0,0,Unknown,"5,501 / sq ft",Under Construction,3
117,Villa,Rajiv Bhargav Colony,152.0,0,Unknown,"5,501 / sq ft",Under Construction,3
118,Villa,Rajiv Bhargav Colony,153.0,0,Unknown,"5,500 / sq ft",Under Construction,3
119,Villa,Rajiv Bhargav Colony,153.0,0,Unknown,"5,500 / sq ft",Under Construction,3
120,Residential Plot,Nunna,59.99,0,East,"3,636 / sq ft",New,0
121,Residential Plot,Kankipadu,25.45,0,NorthEast,"1,778 / sq ft",New,0
122,Residential Plot,Kankipadu,25.44,0,East,"1,777 / sq ft",New,0
123,Residential Plot,Kankipadu,27.2,0,East,"1,776 / sq ft",New,0
124,Residential Plot,Nunna,58.59,0,East,"3,444 / sq ft",New,0
125,Residential Plot,Kesarapalle,28.5,0,East,"1,884 / sq ft",New,0
126,Residential Plot,Payakapuram,51.01,0,NorthEast,"3,778 / sq ft",New,0
127,Residential Plot,Payakapuram,49.51,0,North,"3,667 / sq ft",New,0
128,Residential Plot,Payakapuram,49.5,0,North,"3,666 / sq ft",New,0
129,Residential Plot,Payakapuram,51.0,0,East,"3,777 / sq ft",New,0
130,Villa,Payakapuram,135.0,4,East,"5,744 / sq ft",Under Construction,3
131,Villa,Payakapuram,130.0,4,West,"5,531 / sq ft",Under Construction,3
132,Residential Plot,Gannavaram,52.0,0,NorthEast,"2,888 / sq ft",New,0
133,Residential Plot,Gannavaram,33.0,0,NorthEast,"1,833 / sq ft",New,0
134,Residential Plot,Kanchikacherla,13.0,0,NorthEast,722 / sq ft,New,0
135,Residential Plot,Edupugallu,32.0,0,East,"1,777 / sq ft",New,0
136,Residential Plot,Kankipadu,13.49,0,East,999 / sq ft,New,0
137,Residential Plot,Payakapuram,54.9,0,East,"3,327 / sq ft",New,0
138,Residential Plot,Kankipadu,15.03,0,East,"1,000 / sq ft",New,0
139,Residential Plot,Kankipadu,32.0,0,NorthEast,"1,777 / sq ft",New,0
140,Residential Plot,Kankipadu,13.49,0,East,999 / sq ft,New,0
141,Residential Plot,Payakapuram,54.9,0,East,"3,327 / sq ft",New,0
142,Residential Plot,Kankipadu,15.03,0,East,"1,000 / sq ft",New,0
143,Residential Plot,Kanchikacherla,18.0,0,East,"1,333 / sq ft",New,0
144,Residential Plot,Nunna,38.4,0,East,"2,560 / sq ft",New,0
145,Residential Plot,Ramavarapadu,42.09,0,East,"2,550 / sq ft",New,0
146,Residential Plot,Ramavarapadu,40.0,0,East,"2,424 / sq ft",New,0
147,Residential Plot,Ramavarapadu,50.0,0,East,"2,777 / sq ft",New,0
148,Residential Plot,Kankipadu,28.38,0,East,"1,888 / sq ft",New,0
149,Residential Plot,Ramavarapadu,68.0,0,East,"3,777 / sq ft",New,0
150,Residential Plot,Kankipadu,31.11,0,East,"1,888 / sq ft",New,0
151,Residential Plot,Kankipadu,28.33,0,East,"1,885 / sq ft",New,0
152,Residential Plot,Ramavarapadu,66.0,0,Unknown,"3,051 / sq ft",New,0
153,Residential Plot,Nunna,50.0,0,East,"2,777 / sq ft",New,0
154,Residential Plot,Nunna,60.0,0,East,"4,000 / sq ft",New,0
155,Residential Plot,Kankipadu,30.0,0,NorthEast,"1,666 / sq ft",New,0
156,Residential Plot,Nunna,31.5,0,East,"2,095 / sq ft",New,0
157,Independent House,Nunna,63.0,2,East,"5,250 / sq ft",Under Construction,2
158,Residential Plot,Nunna,40.0,0,West,"2,168 / sq ft",New,0
159,Residential Plot,Ramavarapadu,160.0,0,Unknown,"4,444 / sq ft",New,0
160,Residential Plot,Kankipadu,115.0,0,Unknown,"2,410 / sq ft",New,0
161,Residential Plot,Kankipadu,112.0,0,East,"2,393 / sq ft",New,0
162,Residential Plot,Kankipadu,120.0,0,West,"2,211 / sq ft",New,0
163,Residential Plot,Vuyyuru,24.5,0,East,"1,289 / sq ft",New,0
164,Residential Plot,Vuyyuru,23.6,0,East,"1,348 / sq ft",New,0
165,Residential Plot,Vuyyuru,24.0,0,East,"1,333 / sq ft",New,0
166,Residential Plot,Poranki,32.56,0,East,"2,166 / sq ft",New,0
167,Residential Plot,Poranki,34.77,0,East,"2,111 / sq ft",New,0
168,Residential Plot,Poranki,35.26,0,West,"2,349 / sq ft",New,0
169,Residential Plot,Poranki,36.12,0,East,"2,328 / sq ft",New,0
170,Residential Plot,Penamaluru,33.62,0,East,"2,167 / sq ft",New,0
171,Residential Plot,Penamaluru,34.77,0,East,"2,111 / sq ft",New,0
172,Residential Plot,Penamaluru,32.94,0,West,"2,000 / sq ft",New,0
173,Residential Plot,Edupugallu,46.96,0,East,"1,735 / sq ft",New,0
174,Residential Plot,Edupugallu,50.0,0,NorthEast,"2,222 / sq ft",New,0
175,Residential Plot,Edupugallu,30.19,0,East,"1,677 / sq ft",New,0
176,Residential Plot,Edupugallu,26.24,0,West,"1,777 / sq ft",New,0
177,Residential Plot,Edupugallu,38.8,0,East,"2,218 / sq ft",New,0
178,Residential Plot,Edupugallu,26.24,0,West,"1,777 / sq ft",New,0
179,Residential Plot,Kankipadu,22.87,0,East,"1,386 / sq ft",New,0
180,Residential Plot,Kankipadu,23.78,0,Unknown,"1,441 / sq ft",New,0
181,Residential Plot,Kankipadu,22.87,0,West,"1,386 / sq ft",New,0
182,Residential Plot,Kankipadu,54.03,0,NorthEast,"1,552 / sq ft",New,0
183,Residential Plot,Kankipadu,86.51,0,NorthEast,"1,544 / sq ft",New,0
184,Residential Plot,Kankipadu,70.49,0,West,"1,379 / sq ft",New,0
185,Residential Plot,Kankipadu,14.95,0,Unknown,"1,440 / sq ft",New,0
186,Residential Plot,Kankipadu,21.75,0,Unknown,"1,611 / sq ft",New,0
187,Residential Plot,Kankipadu,22.54,0,East,"1,500 / sq ft",New,0
188,Residential Plot,Kankipadu,24.7,0,East,"1,497 / sq ft",New,0
189,Residential Plot,Kankipadu,27.27,0,East,"1,502 / sq ft",New,0
190,Residential Plot,Kankipadu,21.0,0,West,"1,555 / sq ft",New,0
191,Residential Plot,Kankipadu,21.71,0,West,"1,444 / sq ft",New,0
192,Residential Plot,Kankipadu,18.37,0,West,"1,388 / sq ft",New,0
193,Residential Plot,Kankipadu,92.87,0,SouthEast,"1,499 / sq ft",New,0
194,Residential Plot,Kankipadu,23.79,0,West,"1,441 / sq ft",New,0
195,Residential Plot,Kankipadu,26.26,0,West,"1,446 / sq ft",New,0
196,Residential Plot,Kankipadu,27.69,0,West,"1,446 / sq ft",New,0
197,Residential Plot,Tadigadapa,30.06,0,West,"2,000 / sq ft",New,0
198,Residential Plot,Tadigadapa,31.73,0,East,"2,111 / sq ft",New,0
199,Residential Plot,Tadigadapa,34.77,0,East,"2,111 / sq ft",New,0
200,Residential Plot,Tadigadapa,36.12,0,East,"2,328 / sq ft",New,0
201,Residential Plot,Tadigadapa,32.39,0,West,"2,268 / sq ft",New,0
202,Residential Plot,Penamaluru,30.06,0,East,"2,004 / sq ft",New,0
203,Residential Plot,Penamaluru,60.0,0,Unknown,"2,222 / sq ft",New,0
204,Residential Plot,Penamaluru,36.12,0,East,"2,333 / sq ft",New,0
205,Residential Plot,Penamaluru,27.88,0,West,"2,262 / sq ft",New,0
206,Residential Plot,SURAMPALLI,7.99,0,Unknown,888 / sq ft,New,0
207,Residential Plot,SURAMPALLI,7.99,0,Unknown,888 / sq ft,New,0
208,Apartment,Subba Rao Colony 2nd Cross Road,140.0,20233,Unknown,"6,003 / sq ft",Under Construction,3
209,Independent House,Moghalrajpuram,190.0,5,Unknown,"16,888 / sq ft",Ready to move,4
210,Apartment,ramavarappadu,45.99,3,Unknown,"3,066 / sq ft",Ready to move,3
211,Apartment,Currency Nagar,42.0,2,Unknown,"3,500 / sq ft",Ready to move,2
212,Residential Plot,Currency Nagar,90.0,0,Unknown,"5,076 / sq ft",New,0
213,Residential Plot,Kanuru,54.39,0,Unknown,"4,168 / sq ft",New,0
214,Apartment,ramavarappadu,40.0,3,Unknown,"2,962 / sq ft",Ready to move,3
215,Residential Plot,Kanchikacherla,7.49,0,Unknown,693 / sq ft,New,0
216,Residential Plot,Mylavaram,3.6,0,Unknown,400 / sq ft,New,0
217,Residential Plot,Mylavaram,4.99,0,Unknown,528 / sq ft,New,0
218,Residential Plot,Kanchikacherla,6.99,0,Unknown,687 / sq ft,New,0
219,Residential Plot,Kankipadu,4.2,0,Unknown,233 / sq ft,New,0
220,Apartment,Ibrahimpatnam,51.45,3,Unknown,"3,000 / sq ft",Ready to move,3
221,Apartment,Ibrahimpatnam,48.75,3,Unknown,"3,000 / sq ft",Ready to move,3
222,Apartment,Ibrahimpatnam,36.45,2,Unknown,"3,000 / sq ft",Ready to move,2
223,Independent House,Nunna,75.0,20232,Unknown,"4,166 / sq ft",Under Construction,2
224,Villa,Nunna,105.0,20233,Unknown,"2,916 / sq ft",Under Construction,3
225,Villa,Kankipadu,47.84,0,Unknown,"4,672 / sq ft",Under Construction,2
226,Independent House,Nunna,60.0,2,Unknown,"4,444 / sq ft",Ready to move,2
227,Independent House,Nunna,79.5,4,East,"6,901 / sq ft",Ready to move,4
228,Independent House,Nunna,55.0,20232,Unknown,"4,774 / sq ft",Under Construction,2
229,Apartment,Ibrahimpatnam,36.45,2,Unknown,"3,000 / sq ft",Ready to move,2
230,Apartment,Ibrahimpatnam,48.75,3,Unknown,"3,000 / sq ft",Ready to move,3
231,Apartment,Ibrahimpatnam,51.45,3,Unknown,"3,000 / sq ft",Ready to move,3
232,Apartment,Ibrahimpatnam,48.75,3,Unknown,"3,000 / sq ft",Ready to move,3
233,Independent House,Ibrahimpatnam,75.0,2,Unknown,"5,555 / sq ft",Ready to move,2
234,Villa,Kankipadu,10.4,20242,Unknown,825 / sq ft,Under Construction,3
235,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
236,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
237,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
238,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
239,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
240,Independent House,Punadipadu,52.0,20222,Unknown,"3,501 / sq ft",Under Construction,2
241,Apartment,Gannavaram,66.0,3,Unknown,"3,464 / sq ft",Ready to move,3
242,Villa,Kankipadu,10.4,20242,Unknown,825 / sq ft,Under Construction,3
243,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
244,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
245,Apartment,Nidamanuru,35.0,2,Unknown,"3,645 / sq ft",Ready to move,2
246,Apartment,Nidamanuru,35.0,2,Unknown,"3,645 / sq ft",Ready to move,2
247,Apartment,Nidamanuru,37.0,2,Unknown,"3,854 / sq ft",Ready to move,2
248,Apartment,Gannavaram,46.0,3,Unknown,"3,076 / sq ft",Ready to move,3
249,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
250,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
251,Apartment,Gannavaram,46.0,3,Unknown,"3,198 / sq ft",Ready to move,3
252,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
253,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
254,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
255,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
256,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
257,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
258,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
259,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
260,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
261,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
262,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
263,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
264,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
265,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
266,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
267,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
268,Apartment,Gannavaram,46.0,3,Unknown,"3,097 / sq ft",Ready to move,3
269,Apartment,Gannavaram,46.0,3,Unknown,"3,076 / sq ft",Ready to move,3
270,Apartment,Gannavaram,46.0,3,Unknown,"3,076 / sq ft",Ready to move,3
271,Apartment,Gannavaram,46.0,3,Unknown,"3,076 / sq ft",Ready to move,3
272,Apartment,Gannavaram,46.0,3,Unknown,"3,076 / sq ft",Ready to move,3
273,Independent House,Penamaluru,59.99,2,Unknown,"3,999 / sq ft",Ready to move,2
274,Independent House,Penamaluru,59.99,2,Unknown,"4,444 / sq ft",Ready to move,2
275,Apartment,Subba Rao Colony 2nd Cross Road,140.0,20233,Unknown,"5,529 / sq ft",Under Construction,3
276,Apartment,Mangalagiri,47.0,2,Unknown,"3,730 / sq ft",Ready to move,2
277,Independent Floor,Kankipadu,57.0,20232,Unknown,"4,750 / sq ft",Under Construction,2
278,Villa,Kankipadu,54.0,20232,Unknown,"4,500 / sq ft",Under Construction,2
279,Apartment,Gannavaram,70.0,3,Unknown,"3,500 / sq ft",Ready to move,3
280,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
281,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
282,Apartment,Nidamanuru,63.0,2,Unknown,"4,067 / sq ft",Ready to move,3
283,Apartment,Nidamanuru,37.0,2,Unknown,"3,854 / sq ft",Ready to move,2
284,Apartment,Subba Rao Colony 2nd Cross Road,140.0,20233,Unknown,"5,529 / sq ft",Under Construction,3
285,Independent Floor,Kankipadu,57.0,20232,Unknown,"4,750 / sq ft",Under Construction,2
286,Villa,Kankipadu,54.0,20232,Unknown,"4,500 / sq ft",Under Construction,2
287,Apartment,Gannavaram,70.0,3,Unknown,"3,500 / sq ft",Ready to move,3
288,Apartment,Gannavaram,56.0,3,Unknown,"3,500 / sq ft",Ready to move,3
289,Apartment,Mangalagiri,47.0,2,Unknown,"3,730 / sq ft",Ready to move,2
290,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
291,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
292,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
293,Apartment,Nidamanuru,35.0,2,Unknown,"3,645 / sq ft",Ready to move,2
294,Apartment,Nidamanuru,37.0,2,Unknown,"3,854 / sq ft",Ready to move,2
295,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
296,Apartment,Nidamanuru,35.0,2,Unknown,"3,645 / sq ft",Ready to move,2
297,Apartment,Nidamanuru,63.0,3,Unknown,"4,067 / sq ft",Ready to move,3
298,Apartment,Nidamanuru,37.0,2,Unknown,"3,854 / sq ft",Ready to move,2
299,Independent House,Kankipadu,44.99,20232,Unknown,"2,999 / sq ft",Under Construction,2
300,Independent Floor,Kankipadu,57.0,20232,Unknown,"4,750 / sq ft",Under Construction,2
301,Villa,Kankipadu,54.0,20232,Unknown,"4,500 / sq ft",Under Construction,2
302,Residential Plot,Nunna,40.8,0,East,"2,714 / sq ft",New,0
303,Apartment,Benz Circle,78.0,3,Unknown,"4,588 / sq ft",Ready to move,3
304,Residential Plot,AGIRIPALLI,4.2,0,North,388 / sq ft,New,0
305,Residential Plot,AGIRIPALLI,4.2,0,West,388 / sq ft,New,0
306,Residential Plot,AGIRIPALLI,4.2,0,South,388 / sq ft,New,0
307,Residential Plot,AGIRIPALLI,5.4,0,East,500 / sq ft,New,0
308,Residential Plot,AGIRIPALLI,5.4,0,West,500 / sq ft,New,0
309,Residential Plot,AGIRIPALLI,5.4,0,South,500 / sq ft,New,0
310,Residential Plot,AGIRIPALLI,4.2,0,NorthWest,388 / sq ft,New,0
311,Residential Plot,AGIRIPALLI,4.2,0,NorthEast,388 / sq ft,New,0
312,Residential Plot,AGIRIPALLI,4.2,0,East,388 / sq ft,New,0
313,Residential Plot,AGIRIPALLI,5.4,0,NorthEast,500 / sq ft,New,0
314,Residential Plot,Penamaluru,25.0,0,Unknown,"2,777 / sq ft",New,0
315,Residential Plot,Vijayawada Road,4.95,0,NorthEast,500 / sq ft,New,0
316,Residential Plot,Vijayawada Road,4.95,0,East,500 / sq ft,New,0
317,Residential Plot,Vijayawada Road,4.95,0,West,500 / sq ft,New,0
318,Residential Plot,AGIRIPALLI,5.4,0,West,500 / sq ft,New,0
319,Residential Plot,AGIRIPALLI,5.4,0,East,500 / sq ft,New,0
320,Residential Plot,AGIRIPALLI,4.2,0,East,388 / sq ft,New,0
321,Residential Plot,Vijayawada Road,4.95,0,NorthEast,500 / sq ft,New,0
322,Residential Plot,Vijayawada Road,4.95,0,East,500 / sq ft,New,0
323,Residential Plot,Vijayawada Road,4.95,0,West,500 / sq ft,New,0
324,Residential Plot,AGIRIPALLI,5.4,0,West,500 / sq ft,New,0
325,Residential Plot,AGIRIPALLI,5.4,0,East,500 / sq ft,New,0
326,Residential Plot,AGIRIPALLI,5.4,0,NorthEast,500 / sq ft,New,0
